,price,address,bed,ages
0,"$725,000","Rock Springs, WY 82901",,
1,"$452,900","Rock Springs, WY 82901",4,New Construction
2,"$396,900","Rock Springs, WY 82901",5,6-10 Years Old
3,"$389,900","Rock Springs, WY 82901",4,1-5 Years Old
4,"$254,000","Rock Springs, WY 82901",3,31-40 Years Old
5,"$252,900","Rock Springs, WY 82901",4,
6,"$210,000","Rock Springs, WY 82901",4,21-30 Years Old
7,"$209,000","Rock Springs, WY 82901",3,21-30 Years Old
8,"$199,900","Rock Springs, WY 82901",3,41-50 Years Old
9,"$196,900","Rock Springs, WY 82901",3,
